model,seed,hidden_dim,layers,dropout,lr,num_params,train_epochs,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GIN,2,32,3,0.75,0.005,5602,50,1.570807933807373,0.002019166946411133,0.006304025650024414,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.7866666666666667
GIN,2,32,4,0.0,0.001,7714,50,1.506232738494873,0.0022199153900146484,0.0027561187744140625,0.7777777777777778,0.775,0.775,0.775,0.9,0.65,0.65,0.7,0.6266666666666667,0.84
GIN,2,32,4,0.0,0.005,7714,50,2.356255054473877,0.004064083099365234,0.0045430660247802734,0.7777777777777778,0.775,0.775,0.775,0.9,0.7,0.7272727272727273,0.8,0.6875,0.88
GIN,2,32,4,0.2,0.001,7714,50,2.8054490089416504,0.0025398731231689453,0.0033452510833740234,0.7777777777777778,0.775,0.775,0.775,0.875,0.65,0.65,0.7,0.6266666666666667,0.84
GIN,2,32,4,0.2,0.005,7714,50,1.6974949836730957,0.0020558834075927734,0.0027611255645751953,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.875,0.75,0.6785714285714286,0.7,0.6865203761755485,0.7866666666666667
GIN,2,32,4,0.75,0.001,7714,50,1.498342752456665,0.002393960952758789,0.0024759769439697266,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.8133333333333334
GIN,2,32,4,0.75,0.005,7714,50,1.7306592464447021,0.0029489994049072266,0.0055353641510009766,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8375000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.7466666666666668
GIN,2,64,2,0.0,0.001,13122,50,1.1678988933563232,0.0022618770599365234,0.0023088455200195312,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8250000000000001,0.75,0.6785714285714286,0.7,0.6865203761755485,0.7733333333333333
GIN,2,64,2,0.0,0.005,13122,50,1.1317250728607178,0.0022401809692382812,0.0030901432037353516,0.7777777777777778,0.775,0.775,0.775,0.85,0.65,0.65,0.7,0.6266666666666667,0.8
GIN,2,64,2,0.2,0.001,13122,50,1.3659939765930176,0.0020601749420166016,0.00222015380859375,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.8250000000000001,0.75,0.6785714285714286,0.7,0.6865203761755485,0.8133333333333334
GIN,2,64,2,0.2,0.005,13122,50,1.4024620056152344,0.0019440650939941406,0.0028390884399414062,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.85,0.8,0.7472527472527473,0.8,0.7619047619047619,0.8
GIN,2,64,2,0.75,0.001,13122,50,1.3411681652069092,0.0019192695617675781,0.0027320384979248047,0.5555555555555556,0.5357142857142857,0.525,0.5,0.7875,0.75,0.6785714285714286,0.7,0.6865203761755485,0.76
GIN,2,64,2,0.75,0.005,13122,50,1.3218560218811035,0.002203226089477539,0.002229928970336914,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.75,0.7083333333333333,0.7666666666666666,0.7150997150997151,0.84
GIN,2,64,3,0.0,0.001,21442,50,1.6100428104400635,0.002611875534057617,0.002853870391845703,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.8250000000000001,0.75,0.6785714285714286,0.7,0.6865203761755485,0.8
GIN,2,64,3,0.0,0.005,21442,50,1.5336968898773193,0.002396106719970703,0.003330230712890625,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.875,0.8,0.7472527472527473,0.8,0.7619047619047619,0.8
GIN,2,64,3,0.2,0.001,21442,50,1.8270158767700195,0.0038809776306152344,0.002736806869506836,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.85,0.8,0.7472527472527473,0.8,0.7619047619047619,0.8
GIN,2,64,3,0.2,0.005,21442,50,1.8373208045959473,0.0036458969116210938,0.0031452178955078125,0.7777777777777778,0.775,0.775,0.775,0.8625,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.84
GIN,2,64,3,0.75,0.001,21442,50,1.82484769821167,0.0023632049560546875,0.003324747085571289,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.65,0.65,0.7,0.6266666666666667,0.8266666666666667
GIN,2,64,3,0.75,0.005,21442,50,1.8477916717529297,0.0028679370880126953,0.0031392574310302734,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8250000000000001,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.7866666666666667
GIN,2,64,4,0.0,0.001,29762,50,1.9662139415740967,0.0036869049072265625,0.003493785858154297,0.7777777777777778,0.775,0.775,0.775,0.9,0.65,0.65,0.7,0.6266666666666667,0.8
GIN,2,64,4,0.0,0.005,29762,50,2.113532066345215,0.003345966339111328,0.003705739974975586,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.925,0.85,0.8125,0.7666666666666666,0.7849462365591398,0.9066666666666666
GIN,2,64,4,0.2,0.001,29762,50,2.2664811611175537,0.004490852355957031,0.003557920455932617,0.7777777777777778,0.775,0.775,0.775,0.9,0.7,0.7272727272727273,0.8,0.6875,0.8266666666666667
GIN,2,64,4,0.2,0.005,29762,50,2.2866859436035156,0.002995014190673828,0.0030050277709960938,0.8888888888888888,0.9,0.9,0.8888888888888888,0.9,0.7,0.7272727272727273,0.8,0.6875,0.92
GIN,2,64,4,0.75,0.001,29762,50,2.268306016921997,0.002979755401611328,0.0038268566131591797,0.7777777777777778,0.775,0.775,0.775,0.9125000000000001,0.65,0.7083333333333334,0.7666666666666666,0.6419437340153453,0.7866666666666666
GIN,2,64,4,0.75,0.005,29762,50,2.3043999671936035,0.0035750865936279297,0.003364086151123047,0.7777777777777778,0.775,0.775,0.775,0.875,0.65,0.65,0.7,0.6266666666666667,0.8133333333333334
