family,approach,support_ratio,seed,config_label,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,preprocess_time_sec,total_pipeline_time_sec
GIN,GIN,,0,GIN h=64 L=2 d=0.2 lr=0.001,1.3472046852111816,0.0018541812896728,0.0018198490142822,0.9444444444444444,0.9166666666666669,0.9615384615384616,0.9345454545454546,1.0,0.85,0.8636363636363636,0.875,0.849624060150376,0.8125,0.0,1.3472046852111816
GIN,GIN,,0,GIN h=64 L=2 d=0.2 lr=0.005,1.248331069946289,0.0018789768218994,0.0022628307342529,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8854166666666667,0.0,1.248331069946289
GIN,GIN,,0,GIN h=64 L=2 d=0.75 lr=0.001,1.2621166706085205,0.0018680095672607,0.0018222332000732,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.9692307692307692,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.90625,0.0,1.2621166706085205
GIN,GIN,,0,GIN h=64 L=2 d=0.75 lr=0.005,1.1920597553253174,0.0016620159149169,0.001971960067749,0.8888888888888888,0.8571428571428572,0.9230769230769232,0.875,1.0,0.8,0.8333333333333333,0.8333333333333333,0.8,0.875,0.0,1.1920597553253174
GIN,GIN,,0,GIN h=64 L=3 d=0.0 lr=0.001,1.3529789447784424,0.0021877288818359,0.0025951862335205,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8645833333333334,0.0,1.3529789447784424
GIN,GIN,,0,GIN h=64 L=3 d=0.0 lr=0.005,1.399543046951294,0.0022652149200439,0.0023291110992431,0.9444444444444444,0.9166666666666669,0.9615384615384616,0.9345454545454546,0.9846153846153848,0.95,0.9444444444444444,0.9583333333333331,0.948849104859335,0.9270833333333331,0.0,1.399543046951294
GIN,GIN,,0,GIN h=64 L=3 d=0.2 lr=0.001,1.5832171440124512,0.0019590854644775,0.0022058486938476,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.85,0.8636363636363636,0.875,0.849624060150376,0.8125,0.0,1.5832171440124512
GIN,GIN,,0,GIN h=64 L=3 d=0.2 lr=0.005,1.7099311351776123,0.0021870136260986,0.0020070075988769,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.8958333333333334,0.0,1.7099311351776123
GIN,GIN,,0,GIN h=64 L=3 d=0.75 lr=0.001,1.5719189643859863,0.0021851062774658,0.0024571418762207,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.8,0.8,0.8125,0.797979797979798,0.875,0.0,1.5719189643859863
GIN,GIN,,0,GIN h=64 L=3 d=0.75 lr=0.005,1.6463217735290527,0.0023238658905029,0.0024130344390869,0.8888888888888888,0.9333333333333332,0.8,0.8392857142857143,0.9692307692307692,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8958333333333334,0.0,1.6463217735290527
GIN,GIN,,0,GIN h=64 L=4 d=0.0 lr=0.001,1.612701177597046,0.0025310516357421,0.0024969577789306,1.0,1.0,1.0,1.0,1.0,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.9166666666666669,0.0,1.612701177597046
GIN,GIN,,0,GIN h=64 L=4 d=0.0 lr=0.005,1.614656925201416,0.0024669170379638,0.0028212070465087,0.8888888888888888,0.8615384615384616,0.8615384615384616,0.8615384615384616,0.953846153846154,0.9,0.9,0.9166666666666669,0.898989898989899,0.8645833333333334,0.0,1.614656925201416
GIN,GIN,,0,GIN h=64 L=4 d=0.2 lr=0.001,2.241323947906494,0.0023989677429199,0.0024619102478027,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.875,0.0,2.241323947906494
GIN,GIN,,0,GIN h=64 L=4 d=0.2 lr=0.005,1.989075183868408,0.0023901462554931,0.0024528503417968,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,1.0,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.875,0.0,1.989075183868408
GIN,GIN,,0,GIN h=64 L=4 d=0.75 lr=0.001,1.9451849460601809,0.0025668144226074,0.0032269954681396,0.8888888888888888,0.8615384615384616,0.8615384615384616,0.8615384615384616,0.9846153846153848,0.8,0.8333333333333333,0.8333333333333333,0.8,0.8541666666666666,0.0,1.9451849460601809
GIN,GIN,,0,GIN h=64 L=4 d=0.75 lr=0.005,2.087574005126953,0.0024480819702148,0.0023999214172363,0.8888888888888888,0.8571428571428572,0.9230769230769232,0.875,1.0,0.8,0.8333333333333333,0.8333333333333333,0.8,0.8645833333333333,0.0,2.087574005126953
GCN,GCN,,1,GCN h=32 L=2 d=0.0 lr=0.001,1.0892469882965088,0.0027723312377929,0.0033349990844726,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.7250000000000001,0.65,0.8055555555555556,0.6111111111111112,0.561128526645768,0.898989898989899,0.0,1.0892469882965088
GCN,GCN,,1,GCN h=32 L=2 d=0.0 lr=0.005,1.0518441200256348,0.0017561912536621,0.0020880699157714,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.6375,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.8888888888888888,0.0,1.0518441200256348
GCN,GCN,,1,GCN h=32 L=2 d=0.2 lr=0.001,0.998741865158081,0.0021820068359375,0.0020210742950439,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.7250000000000001,0.6,0.7894736842105263,0.5555555555555556,0.4666666666666667,0.888888888888889,0.0,0.998741865158081
GCN,GCN,,1,GCN h=32 L=2 d=0.2 lr=0.005,0.9792661666870116,0.0018329620361328,0.0020761489868164,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.6375,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.9090909090909092,0.0,0.9792661666870116
GCN,GCN,,1,GCN h=32 L=2 d=0.75 lr=0.001,0.9006319046020508,0.0017621517181396,0.0021138191223144,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.7250000000000001,0.55,0.275,0.5,0.3548387096774194,0.9090909090909092,0.0,0.9006319046020508
GCN,GCN,,1,GCN h=32 L=2 d=0.75 lr=0.005,0.9150760173797609,0.0017981529235839,0.0020031929016113,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7250000000000001,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.9292929292929292,0.0,0.9150760173797609
GCN,GCN,,1,GCN h=32 L=3 d=0.0 lr=0.001,1.077419996261597,0.0021092891693115,0.002418041229248,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7250000000000001,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.9191919191919192,0.0,1.077419996261597
GCN,GCN,,1,GCN h=32 L=3 d=0.0 lr=0.005,1.0530049800872805,0.0020842552185058,0.002425193786621,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.65,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9090909090909092,0.0,1.0530049800872805
GCN,GCN,,1,GCN h=32 L=3 d=0.2 lr=0.001,1.1161599159240725,0.0021040439605712,0.0023069381713867,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7250000000000001,0.7,0.8235294117647058,0.6666666666666666,0.6428571428571428,0.9090909090909092,0.0,1.1161599159240725
GCN,GCN,,1,GCN h=32 L=3 d=0.2 lr=0.005,1.130927801132202,0.0020902156829833,0.0024468898773193,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.6625,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9090909090909092,0.0,1.130927801132202
GCN,GCN,,1,GCN h=32 L=3 d=0.75 lr=0.001,1.1283137798309326,0.0021009445190429,0.0023376941680908,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.7250000000000001,0.55,0.275,0.5,0.3548387096774194,0.9090909090909092,0.0,1.1283137798309326
GCN,GCN,,1,GCN h=32 L=3 d=0.75 lr=0.005,1.147840976715088,0.0021922588348388,0.0022811889648437,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7250000000000001,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,0.9393939393939394,0.0,1.147840976715088
GCN,GCN,,1,GCN h=32 L=4 d=0.0 lr=0.001,1.2551140785217283,0.0027759075164794,0.003148078918457,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.6499999999999999,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.8585858585858586,0.0,1.2551140785217283
GCN,GCN,,1,GCN h=32 L=4 d=0.0 lr=0.005,1.3155241012573242,0.002587080001831,0.0025908946990966,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.6375,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9090909090909092,0.0,1.3155241012573242
GCN,GCN,,1,GCN h=32 L=4 d=0.2 lr=0.001,1.3337640762329102,0.0024480819702148,0.0028328895568847,0.6666666666666666,0.6964285714285714,0.6375,0.625,0.7125,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9393939393939394,0.0,1.3337640762329102
