family,approach,config_label,train_time_sec_mean,train_time_sec_std,val_inference_time_sec_mean,val_inference_time_sec_std,test_inference_time_sec_mean,test_inference_time_sec_std,preprocess_time_sec_mean,preprocess_time_sec_std,total_pipeline_time_sec_mean,total_pipeline_time_sec_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std
GCN,GCN,GCN h=32 L=3 d=0.2 lr=0.005,1.1289692719777424,0.012054915948769169,0.0020724137624104333,7.900485680787993e-05,0.0023993651072183667,4.2984385937919535e-05,0.0,0.0,1.1289692719777424,0.012054915948769169,0.7037037037037037,0.13981174880131017,0.7584325396825397,0.19629512362115673,0.6375000000000001,0.09762812094883314,0.635572473503508,0.12133922137514168,0.7599358974358975,0.11882037518113386,0.7666666666666666,0.05773502691896262,0.7674136321195144,0.09019013382872726,0.7037037037037037,0.06415002990995838,0.7126831501831502,0.059115161784227786,0.8312247474747475,0.09886070712406475
GCN,GCN,GCN h=32 L=3 d=0.75 lr=0.001,1.1193826993306477,0.00924374555160631,0.0021017392476399,2.9426429401160904e-06,0.0023495356241861665,0.00010315023068407441,0.0,0.0,1.1193826993306477,0.00924374555160631,0.6111111111111112,0.09622504486493756,0.3055555555555556,0.04811252243246878,0.5,0.0,0.37788018433179715,0.03591810430442373,0.7519230769230769,0.06941748326069239,0.6333333333333333,0.10408329997330665,0.31666666666666665,0.052041649986653324,0.5,0.0,0.386136712749616,0.03810706282339713,0.8035858585858587,0.15416175878818345
GCN,GCN,GCN h=32 L=3 d=0.75 lr=0.005,1.1726773579915364,0.07329832001388759,0.002065976460774667,0.00013909641773050203,0.002386411031087167,0.0002198113706483874,0.0,0.0,1.1726773579915364,0.07329832001388759,0.7222222222222223,0.11111111111111109,0.7824252136752138,0.1556531445052355,0.6583333333333333,0.061661035778953065,0.6617709127454255,0.07827464257464604,0.7849358974358975,0.09319650878918741,0.7833333333333333,0.07637626158259735,0.7674603174603174,0.1508917809360199,0.7347222222222222,0.12078543111803818,0.7400732600732601,0.12493521244991826,0.8447979797979798,0.11277210062293919
GCN,GCN,GCN h=32 L=4 d=0.0 lr=0.001,1.256803035736084,0.056423314136217866,0.0026237169901529,0.00021312918548812177,0.0030821959177652664,0.0003629747539455718,0.0,0.0,1.256803035736084,0.056423314136217866,0.6851851851851851,0.16972502573910522,0.7243055555555555,0.25461310973347023,0.6166666666666667,0.13365845776954532,0.6058755038065383,0.17160189854312385,0.7362179487179487,0.10020473371441657,0.7666666666666666,0.057735026918962644,0.7587301587301587,0.14040218658727605,0.7162037037037038,0.10069524265328582,0.7201465201465203,0.10404993862318523,0.8035563973063974,0.11930662945339958
GCN,GCN,GCN h=32 L=4 d=0.0 lr=0.005,1.2374354203542073,0.06895774734421824,0.0024911562601724665,0.00019554834504453752,0.0025846163431802664,7.185080548429508e-05,0.0,0.0,1.2374354203542073,0.06895774734421824,0.7222222222222222,0.14698618394803273,0.784508547008547,0.16461518907914996,0.6708333333333334,0.11342214657346836,0.6674988055422838,0.14880227422004239,0.7516025641025642,0.12947012136943487,0.7333333333333334,0.05773502691896262,0.7315018315018316,0.12003087886014731,0.7037037037037037,0.0641500299099584,0.6978021978021979,0.07268547557869756,0.8312247474747475,0.09886070712406475
GCN,GCN,GCN h=32 L=4 d=0.2 lr=0.001,1.342017412185669,0.0137249903827256,0.002377748489379833,0.00011406503977830333,0.0027856826782226003,8.094021071472512e-05,0.0,0.0,1.342017412185669,0.0137249903827256,0.6851851851851851,0.1398117488013102,0.7127976190476191,0.18580941359433897,0.6208333333333332,0.08868248605746983,0.6196633825944171,0.11708632255266678,0.771474358974359,0.09153489273370671,0.7833333333333333,0.028867513459481298,0.7774801587301589,0.10880666372018241,0.7273148148148149,0.08146438162320412,0.7340055404571534,0.08004541130203961,0.8279924242424243,0.1335120778044109
GCN,GCN,GCN h=32 L=4 d=0.2 lr=0.005,1.4466222127278645,0.08278881796581392,0.0026603539784749003,0.0002902592554406306,0.0031019846598306666,0.00045565410475525736,0.0,0.0,1.4466222127278645,0.08278881796581392,0.7407407407407408,0.1283000598199168,0.7654761904761904,0.14612822468601547,0.6958333333333333,0.09042722672587797,0.7045454545454546,0.11732195756593936,0.7807692307692308,0.09740057136267297,0.75,0.08660254037844388,0.7533670033670034,0.12099630200240856,0.7444444444444445,0.08388704928078602,0.726886446886447,0.0979592105086574,0.8378535353535354,0.11060295588557972
GCN,GCN,GCN h=32 L=4 d=0.75 lr=0.001,1.3934701283772786,0.054889202728062636,0.0024190743764241,0.00014544243352265502,0.0027701854705810334,3.8995106076854035e-05,0.0,0.0,1.3934701283772786,0.054889202728062636,0.6111111111111112,0.09622504486493756,0.3055555555555556,0.04811252243246878,0.5,0.0,0.37788018433179715,0.03591810430442373,0.764423076923077,0.05779638048903349,0.6333333333333333,0.10408329997330665,0.31666666666666665,0.052041649986653324,0.5,0.0,0.386136712749616,0.03810706282339713,0.8014015151515151,0.13981710205511008
GCN,GCN,GCN h=32 L=4 d=0.75 lr=0.005,1.4327987829844158,0.1292867170379792,0.0030967394510904335,0.0012694097086755072,0.0035280386606852,0.0013343533093088072,0.0,0.0,1.4327987829844158,0.1292867170379792,0.7407407407407408,0.1283000598199168,0.7654761904761904,0.14612822468601547,0.6958333333333333,0.09042722672587797,0.7045454545454546,0.11732195756593936,0.7807692307692308,0.0965951411913412,0.7833333333333333,0.07637626158259735,0.793049543049543,0.10898263820722312,0.7791666666666667,0.05051814855409221,0.7635164835164835,0.08605960308517792,0.8402483164983163,0.12322961705127364
GCN,GCN,GCN h=64 L=2 d=0.0 lr=0.001,1.086826006571452,0.00983780588614452,0.0020739237467447334,0.0001625842237228279,0.0023722648620604666,0.00023100373545401935,0.0,0.0,1.086826006571452,0.00983780588614452,0.6851851851851851,0.16972502573910522,0.7243055555555555,0.25461310973347023,0.6166666666666667,0.13365845776954532,0.6058755038065383,0.17160189854312385,0.771474358974359,0.09153489273370671,0.75,0.0,0.7555555555555555,0.09424253335194567,0.6879629629629629,0.04781759753213092,0.6905921637104434,0.04244832417532407,0.7968518518518519,0.14754820653274237
GCN,GCN,GCN h=64 L=2 d=0.0 lr=0.005,1.091241121292114,0.009692128772054004,0.002117474873860633,0.00011335351354918733,0.002420028050740533,0.00021088353562450865,0.0,0.0,1.091241121292114,0.009692128772054004,0.6851851851851851,0.1398117488013102,0.75,0.19515618744994995,0.6124999999999999,0.09437293044088436,0.5882531261841607,0.14395262764782854,0.7650641025641026,0.13103879644429733,0.75,0.050000000000000044,0.7597747432306257,0.0776837782425769,0.6851851851851852,0.03207501495497917,0.6909764618097952,0.022586579360633085,0.8345917508417507,0.1029270442260054
