Model,HiddenDim,Layers,Dropout,LR,ValAcc,ValPrec,ValRec,ValF1,TestAcc,TestPrec,TestRec,TestF1,RuntimeSec
GCN,64,2,0.75,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.8,0.8947368421052632,0.6,0.6078431372549019,2.792821168899536
GCN,64,2,0.75,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,2.9913461208343506
GCN,64,3,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.2473251819610596
GCN,64,3,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.1808393001556396
GCN,64,3,0.2,0.001,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.75,0.375,0.5,0.42857142857142855,3.724266529083252
GCN,64,3,0.2,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,3.7198522090911865
GCN,64,3,0.75,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,4.408859729766846
GCN,64,3,0.75,0.005,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.85,0.9166666666666667,0.7,0.7402597402597402,3.5196938514709473
GCN,64,4,0.0,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,4.627123832702637
GCN,64,4,0.0,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,4.481106996536255
GCN,64,4,0.2,0.001,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,5.052215337753296
GCN,64,4,0.2,0.005,0.7222222222222222,0.8529411764705883,0.5833333333333334,0.5566502463054187,0.75,0.375,0.5,0.42857142857142855,5.357760667800903
GCN,64,4,0.75,0.001,0.7222222222222222,0.6846153846153846,0.6666666666666667,0.6727272727272727,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,4.8345746994018555
GCN,64,4,0.75,0.005,0.6666666666666666,0.3333333333333333,0.5,0.4,0.75,0.375,0.5,0.42857142857142855,6.13469386100769
