model,seed,hidden_dim,layers,dropout,lr,num_params,train_epochs,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GCN,0,32,4,0.0,0.005,3490,50,1.184908151626587,0.002620220184326172,0.0025098323822021484,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333334
GCN,0,32,4,0.2,0.001,3490,50,1.3344271183013916,0.0024390220642089844,0.0026922225952148438,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8769230769230769,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8645833333333333
GCN,0,32,4,0.2,0.005,3490,50,1.5417547225952148,0.002991914749145508,0.003520965576171875,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8541666666666666
GCN,0,32,4,0.75,0.001,3490,50,1.456740140914917,0.002505064010620117,0.002809762954711914,0.7222222222222222,0.3611111111111111,0.5,0.41935483870967744,0.8307692307692307,0.6,0.3,0.5,0.375,0.8854166666666667
GCN,0,32,4,0.75,0.005,3490,50,1.582078218460083,0.004556179046630859,0.005068063735961914,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8645833333333333
GCN,0,64,2,0.0,0.001,4802,50,1.0952630043029785,0.0018868446350097656,0.002119779586791992,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8769230769230769,0.75,0.7666666666666666,0.7083333333333333,0.7150997150997151,0.875
GCN,0,64,2,0.0,0.005,4802,50,1.1016919612884521,0.0019931793212890625,0.002187967300415039,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.9076923076923077,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333333
GCN,0,64,2,0.2,0.001,4802,50,1.2422809600830078,0.0019452571868896484,0.0022537708282470703,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8307692307692307,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875
GCN,0,64,2,0.2,0.005,4802,50,1.1972002983093262,0.002003908157348633,0.0022792816162109375,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8541666666666666
GCN,0,64,2,0.75,0.001,4802,50,1.2429287433624268,0.002138853073120117,0.0024819374084472656,0.7222222222222222,0.3611111111111111,0.5,0.41935483870967744,0.8307692307692307,0.65,0.8157894736842105,0.5625,0.4982078853046595,0.875
GCN,0,64,2,0.75,0.005,4802,50,1.2077181339263916,0.0019369125366210938,0.0021429061889648438,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333333
GCN,0,64,3,0.0,0.001,8962,50,1.467499017715454,0.002638101577758789,0.002511739730834961,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.8645833333333334
GCN,0,64,3,0.0,0.005,8962,50,1.3897888660430908,0.0026509761810302734,0.002772808074951172,0.8333333333333334,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.8615384615384616,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.875
GCN,0,64,3,0.2,0.001,8962,50,1.6105899810791016,0.002554178237915039,0.002685070037841797,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.8854166666666667
GCN,0,64,3,0.2,0.005,8962,50,1.5681099891662598,0.002515077590942383,0.0028989315032958984,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8769230769230769,0.65,0.6333333333333333,0.6041666666666667,0.6011396011396011,0.8645833333333333
GCN,0,64,3,0.75,0.001,8962,50,1.5911240577697754,0.0027480125427246094,0.0029478073120117188,0.7777777777777778,0.8823529411764706,0.6,0.6,0.8153846153846154,0.65,0.6568627450980392,0.5833333333333333,0.561128526645768,0.8645833333333333
GCN,0,64,3,0.75,0.005,8962,50,1.601593017578125,0.002543210983276367,0.002424955368041992,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.875
GCN,0,64,4,0.0,0.001,13122,50,1.6464691162109375,0.003184080123901367,0.003027200698852539,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.75,0.7666666666666666,0.7083333333333333,0.7150997150997151,0.8645833333333334
GCN,0,64,4,0.0,0.005,13122,50,1.7220580577850342,0.0030188560485839844,0.003264188766479492,0.8888888888888888,0.8615384615384616,0.8615384615384616,0.8615384615384616,0.9076923076923077,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.84375
GCN,0,64,4,0.2,0.001,13122,50,2.059980869293213,0.002783060073852539,0.0034461021423339844,0.8888888888888888,0.9333333333333333,0.8,0.8392857142857143,0.8923076923076924,0.75,0.7417582417582418,0.7291666666666667,0.7333333333333334,0.875
GCN,0,64,4,0.2,0.005,13122,50,1.9595398902893066,0.0028810501098632812,0.0034911632537841797,0.8333333333333334,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.8615384615384616,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8645833333333333
GCN,0,64,4,0.75,0.001,13122,50,1.9847631454467773,0.0026061534881591797,0.0031249523162841797,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8615384615384616,0.7,0.71875,0.6458333333333333,0.6428571428571428,0.8645833333333333
GCN,0,64,4,0.75,0.005,13122,50,1.982555866241455,0.0027818679809570312,0.002934694290161133,0.8333333333333334,0.90625,0.7,0.7339901477832512,0.8923076923076924,0.7,0.6904761904761905,0.6666666666666667,0.6703296703296704,0.8541666666666666
