model_type,hidden_channels,dropout,lr,seed,test_loss,test_acc,test_f1,test_roc_auc,train_time_sec
gcn,64,0.1,0.001,2,0.6843427262808147,0.631578947368421,0.7586206896551725,0.7046153846153846,-1765286796.5085104
gcn,64,0.1,0.01,2,0.6515119891417654,0.6842105263157895,0.8064516129032258,0.7138461538461538,-1765286796.850722
gcn,64,0.1,0.05,2,0.588635902655752,0.6842105263157895,0.7999999999999999,0.7076923076923076,-1765286797.6880493
gcn,64,0.25,0.001,2,0.6891660188373766,0.6578947368421053,0.7936507936507937,0.5015384615384616,-1765286798.4979448
gcn,64,0.25,0.01,2,0.586544046276494,0.6842105263157895,0.7999999999999999,0.7107692307692308,-1765286798.8515122
gcn,64,0.25,0.05,2,0.5818844406228316,0.6842105263157895,0.7777777777777777,0.7076923076923077,-1765286799.5160007
gcn,64,0.5,0.001,2,0.6754135332609478,0.6578947368421053,0.7936507936507937,0.6584615384615384,-1765286800.8152137
gcn,64,0.5,0.01,2,0.6008461651049162,0.6842105263157895,0.7999999999999999,0.7046153846153846,-1765286801.2246087
gcn,64,0.5,0.05,2,0.5922984857308237,0.6842105263157895,0.7999999999999999,0.7138461538461538,-1765286802.008049
gcn,128,0.0,0.001,2,0.6705395422483745,0.6578947368421053,0.7936507936507937,0.6984615384615385,-1765286802.837731
gcn,128,0.0,0.01,2,0.5918037075745431,0.6842105263157895,0.8064516129032258,0.7076923076923077,-1765286803.2950232
gcn,128,0.0,0.05,2,0.7959326693886205,0.7105263157894737,0.8070175438596492,0.7046153846153846,-1765286803.823187
gcn,128,0.01,0.001,2,0.6726673653251246,0.6578947368421053,0.7936507936507937,0.6892307692307692,-1765286804.9032192
gcn,128,0.01,0.01,2,0.5896655697571603,0.6578947368421053,0.7636363636363636,0.7138461538461538,-1765286804.7130575
gcn,128,0.01,0.05,2,0.5969075905649286,0.6578947368421053,0.7636363636363636,0.7076923076923077,-1765286806.1484015
gcn,128,0.05,0.001,2,0.6564526934372751,0.6578947368421053,0.7936507936507937,0.7169230769230769,-1765286808.441173
gcn,128,0.05,0.01,2,0.5856774386606718,0.6842105263157895,0.7999999999999999,0.7169230769230769,-1765286808.8412535
gcn,128,0.05,0.05,2,0.6523302291568956,0.6842105263157895,0.7857142857142856,0.7076923076923076,-1765286809.5152693
gcn,128,0.1,0.001,2,0.6753469736952531,0.6578947368421053,0.7936507936507937,0.6707692307692308,-1765286811.1090932
gcn,128,0.1,0.01,2,0.5984146155809101,0.7105263157894737,0.8135593220338982,0.7015384615384616,-1765286811.5445652
gcn,128,0.1,0.05,2,0.6079291732687699,0.6578947368421053,0.7636363636363636,0.7107692307692307,-1765286811.7034318
gcn,128,0.25,0.001,2,0.656061263460862,0.6578947368421053,0.7936507936507937,0.7015384615384614,-1765286814.1630933
gcn,128,0.25,0.01,2,0.6005370177720722,0.6842105263157895,0.8064516129032258,0.7046153846153846,-1765286814.6917899
gcn,128,0.25,0.05,2,0.5956385637584486,0.7105263157894737,0.8135593220338982,0.7076923076923076,-1765286815.491114
gcn,128,0.5,0.001,2,0.6811721983708834,0.6578947368421053,0.7936507936507937,0.6707692307692307,-1765286816.5394235
gcn,128,0.5,0.01,2,0.586250756916247,0.6842105263157895,0.7999999999999999,0.7169230769230769,-1765286816.8813446
gcn,128,0.5,0.05,2,0.615260312431737,0.6842105263157895,0.7857142857142856,0.7138461538461538,-1765286817.3960423
gcn,256,0.0,0.001,2,0.5868190840670937,0.6842105263157895,0.7999999999999999,0.7107692307692308,-1765286818.6103332
gcn,256,0.0,0.01,2,0.6002898467214484,0.6842105263157895,0.7777777777777777,0.7169230769230769,-1765286820.009461
gcn,256,0.0,0.05,2,0.580293247574254,0.6578947368421053,0.7636363636363636,0.716923076923077,-1765286821.982081
gcn,256,0.01,0.001,2,0.5923995093295449,0.6842105263157895,0.7999999999999999,0.7107692307692308,-1765286822.740467
gcn,256,0.01,0.01,2,0.5978425866679141,0.6842105263157895,0.7999999999999999,0.7107692307692307,-1765286824.7198765
gcn,256,0.01,0.05,2,0.5913083741539403,0.6842105263157895,0.8064516129032258,0.7076923076923077,-1765286825.8801665
gcn,256,0.05,0.001,2,0.5867926227419,0.6842105263157895,0.7999999999999999,0.7107692307692308,-1765286826.7222996
gcn,256,0.05,0.01,2,0.5898573210364894,0.6842105263157895,0.7857142857142856,0.7169230769230769,-1765286828.1969724
gcn,256,0.05,0.05,2,0.639797568321228,0.7105263157894737,0.8135593220338982,0.7015384615384616,-1765286830.887261
gcn,256,0.1,0.001,2,0.5949799951754118,0.6842105263157895,0.8064516129032258,0.7107692307692308,-1765286831.1884308
gcn,256,0.1,0.01,2,0.6174923056050351,0.6842105263157895,0.8064516129032258,0.7138461538461538,-1765286833.8524337
gcn,256,0.1,0.05,2,0.5955971416674162,0.6842105263157895,0.8064516129032258,0.7107692307692308,-1765286835.1831355
gcn,256,0.25,0.001,2,0.5898256270509017,0.6842105263157895,0.7999999999999999,0.7076923076923076,-1765286835.9849539
gcn,256,0.25,0.01,2,0.5637205054885462,0.7368421052631579,0.8076923076923077,0.7261538461538461,-1765286837.003262
gcn,256,0.25,0.05,2,0.6014475195031417,0.6842105263157895,0.793103448275862,0.7076923076923076,-1765286840.0840344
gcn,256,0.5,0.001,2,0.5917008142722281,0.6578947368421053,0.7868852459016393,0.7076923076923076,-1765286840.6984868
gcn,256,0.5,0.01,2,0.5833468625420019,0.6842105263157895,0.7999999999999999,0.7076923076923077,-1765286842.7110763
gcn,256,0.5,0.05,2,0.5992250160167092,0.6842105263157895,0.7999999999999999,0.7107692307692307,-1765286844.0201802
sage,16,0.0,0.001,2,0.6508477832141676,0.6578947368421053,0.7936507936507937,0.6753846153846154,-1765286845.666324
sage,16,0.0,0.01,2,0.5913747047123156,0.6578947368421053,0.7796610169491526,0.6984615384615385,-1765286845.8107514
sage,16,0.0,0.05,2,0.5948911026904458,0.7631578947368421,0.8235294117647058,0.7,-1765286846.2956426
sage,16,0.01,0.001,2,0.6787122080200597,0.6578947368421053,0.7936507936507937,0.32461538461538464,-1765286847.5960255
