model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec,support_ratio
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1011719703674316,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.953846153846154,0.0153629779815673,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8541666666666666,0.0147070884704589,0.4
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1847071647644043,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9384615384615383,0.027606725692749,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8541666666666666,0.0270981788635253,0.4
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",100.0,0.1224360466003418,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.0002439022064208,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.9479166666666666,8.893013000488281e-05,0.4
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",100.0,0.1167848110198974,100,0,0.9444444444444444,0.9642857142857144,0.9,0.9259259259259258,0.9692307692307692,0.0002140998840332,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.9375,8.392333984375e-05,0.4
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.005732774734497,100,0,0.7777777777777778,0.8823529411764706,0.6,0.6,0.9692307692307692,0.0003938674926757,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9270833333333334,0.000349998474121,0.4
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0047059059143066,100,0,0.8888888888888888,0.9333333333333332,0.8,0.8392857142857143,0.9230769230769232,0.0003378391265869,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9270833333333331,0.0003073215484619,0.4
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.0931079387664794,800,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.9375,0.0142138004302978,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,1.0,0.0133280754089355,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1994409561157226,800,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.925,0.0284020900726318,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,1.0,0.0259437561035156,0.1
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1041591167449951,800,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.9375,0.0146481990814208,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,1.0,0.0126528739929199,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1958289146423339,800,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.925,0.0277938842773437,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,1.0,0.0268290042877197,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.1474530696868896,800,1,0.9444444444444444,0.9545454545454546,0.9375,0.9428571428571428,0.975,0.0002119541168212,1.0,1.0,1.0,1.0,1.0,0.0001041889190673,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.1267437934875488,800,1,0.8333333333333334,0.8333333333333333,0.8375,0.8328173374613003,0.975,0.0002839565277099,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9494949494949496,0.0001001358032226,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0236930847167968,800,1,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.8875,0.0010139942169189,0.7,0.8235294117647058,0.6666666666666666,0.6428571428571428,1.0,0.0010187625885009,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0203337669372558,800,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.925,0.0008330345153808,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,0.0008840560913085,0.1
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.1069667339324951,309,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.925,0.014474868774414,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,0.0140852928161621,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1929149627685547,309,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.90625,0.0285940170288085,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0252993106842041,0.2
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1002988815307617,309,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.925,0.0129120349884033,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,0.0143828392028808,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1858830451965332,309,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.90625,0.0254750251770019,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0248310565948486,0.2
